CookerStat, GenerateAssetRegistry=0.023242, Initialize=0.117425, RunGuid=RunIDC58A90E7482F98C74AD99993DDF3302D
DDCTransactionIdA3C83908414190787263A7A397A1B4F5_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DAC12B2D48843F71BB11A487C3E61AEB__1_0_13123_0, StartTime=2016.06.16-22.20.08, HierarchicalDDC=, DataSize=347, Duration=3.767528, RunGuid=RunIDC58A90E7482F98C74AD99993DDF3302D
DDCTransactionId3621E4B24814D1A6425080B3CD0268A2_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_49CF8C404FA7114B1B1EDD8F760C93A7__1_0_13123_0, StartTime=2016.06.16-22.20.08, HierarchicalDDC=, DataSize=347, Duration=3.370881, RunGuid=RunIDC58A90E7482F98C74AD99993DDF3302D
DDCTransactionId9DEB230443997AD2134B2F878B1357A2_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_59E7E7344201C5A2F64ED5BFE6F60A25__1_0_13123_0, StartTime=2016.06.16-22.20.08, HierarchicalDDC=, DataSize=347, Duration=3.162295, RunGuid=RunIDC58A90E7482F98C74AD99993DDF3302D
DDCTransactionIdA3C83908414190787263A7A397A1B4F5_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D3C6BC48482E89309BB56CA18040F974__1_0_13123_0, StartTime=2016.06.16-22.20.08, HierarchicalDDC=, DataSize=347, Duration=3.950153, RunGuid=RunIDC58A90E7482F98C74AD99993DDF3302D
DDCTransactionId9DEB230443997AD2134B2F878B1357A2_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EDDECF984CA75F5536CCFFB0AD934D4A__1_0_13123_0, StartTime=2016.06.16-22.20.08, HierarchicalDDC=, DataSize=347, Duration=3.403179, RunGuid=RunIDC58A90E7482F98C74AD99993DDF3302D
DDCTransactionId3621E4B24814D1A6425080B3CD0268A2_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_97DDF0B6441460C253C26793DAD42447__1_0_13123_0, StartTime=2016.06.16-22.20.08, HierarchicalDDC=, DataSize=347, Duration=3.789865, RunGuid=RunIDC58A90E7482F98C74AD99993DDF3302D
DDCTransactionId9DEB230443997AD2134B2F878B1357A2_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_86E717F74713AAA9BC85B08394E53FF3__1_0_13123_0, StartTime=2016.06.16-22.20.08, HierarchicalDDC=, DataSize=458, Duration=3.451478, RunGuid=RunIDC58A90E7482F98C74AD99993DDF3302D
